Vivado Simulator 2019.2
Time resolution is 1 ps
a:  0   b:  x  product:   0
a:  0   b:  0  product:   0
a:  0   b:  1  product:   0
a:  0   b:  2  product:   0
a:  0   b:  3  product:   0
a:  0   b:  4  product:   0
a:  0   b:  5  product:   0
a:  0   b:  6  product:   0
a:  0   b:  7  product:   0
a:  0   b:  8  product:   0
a:  0   b:  9  product:   0
a:  0   b: 10  product:   0
a:  0   b: 11  product:   0
a:  0   b: 12  product:   0
a:  0   b: 13  product:   0
a:  0   b: 14  product:   0
a:  1   b: 15  product:  15
a:  1   b:  0  product:   0
a:  1   b:  1  product:   1
a:  1   b:  2  product:   2
a:  1   b:  3  product:   3
a:  1   b:  4  product:   4
a:  1   b:  5  product:   5
a:  1   b:  6  product:   6
a:  1   b:  7  product:   7
a:  1   b:  8  product:   8
a:  1   b:  9  product:   9
a:  1   b: 10  product:  10
a:  1   b: 11  product:  11
a:  1   b: 12  product:  12
a:  1   b: 13  product:  13
a:  1   b: 14  product:  14
a:  2   b: 15  product:  30
a:  2   b:  0  product:   0
a:  2   b:  1  product:   2
a:  2   b:  2  product:   4
a:  2   b:  3  product:   6
a:  2   b:  4  product:   8
a:  2   b:  5  product:  10
a:  2   b:  6  product:  12
a:  2   b:  7  product:  14
a:  2   b:  8  product:  16
a:  2   b:  9  product:  18
a:  2   b: 10  product:  20
a:  2   b: 11  product:  22
a:  2   b: 12  product:  24
a:  2   b: 13  product:  26
a:  2   b: 14  product:  28
a:  3   b: 15  product:  45
a:  3   b:  0  product:   0
a:  3   b:  1  product:   3
a:  3   b:  2  product:   6
a:  3   b:  3  product:   9
a:  3   b:  4  product:  12
a:  3   b:  5  product:  15
a:  3   b:  6  product:  18
a:  3   b:  7  product:  21
a:  3   b:  8  product:  24
a:  3   b:  9  product:  27
a:  3   b: 10  product:  30
a:  3   b: 11  product:  33
a:  3   b: 12  product:  36
a:  3   b: 13  product:  39
a:  3   b: 14  product:  42
a:  4   b: 15  product:  60
a:  4   b:  0  product:   0
a:  4   b:  1  product:   4
a:  4   b:  2  product:   8
a:  4   b:  3  product:  12
a:  4   b:  4  product:  16
a:  4   b:  5  product:  20
a:  4   b:  6  product:  24
a:  4   b:  7  product:  28
a:  4   b:  8  product:  32
a:  4   b:  9  product:  36
a:  4   b: 10  product:  40
a:  4   b: 11  product:  44
a:  4   b: 12  product:  48
a:  4   b: 13  product:  52
a:  4   b: 14  product:  56
a:  5   b: 15  product:  75
a:  5   b:  0  product:   0
a:  5   b:  1  product:   5
a:  5   b:  2  product:  10
a:  5   b:  3  product:  15
a:  5   b:  4  product:  20
a:  5   b:  5  product:  25
a:  5   b:  6  product:  30
a:  5   b:  7  product:  35
a:  5   b:  8  product:  40
a:  5   b:  9  product:  45
a:  5   b: 10  product:  50
a:  5   b: 11  product:  55
a:  5   b: 12  product:  60
a:  5   b: 13  product:  65
a:  5   b: 14  product:  70
a:  6   b: 15  product:  90
a:  6   b:  0  product:   0
a:  6   b:  1  product:   6
a:  6   b:  2  product:  12
a:  6   b:  3  product:  18
a:  6   b:  4  product:  24
a:  6   b:  5  product:  30
a:  6   b:  6  product:  36
a:  6   b:  7  product:  42
a:  6   b:  8  product:  48
a:  6   b:  9  product:  54
a:  6   b: 10  product:  60
a:  6   b: 11  product:  66
a:  6   b: 12  product:  72
a:  6   b: 13  product:  78
a:  6   b: 14  product:  84
a:  7   b: 15  product: 105
a:  7   b:  0  product:   0
a:  7   b:  1  product:   7
a:  7   b:  2  product:  14
a:  7   b:  3  product:  21
a:  7   b:  4  product:  28
a:  7   b:  5  product:  35
a:  7   b:  6  product:  42
a:  7   b:  7  product:  49
a:  7   b:  8  product:  56
a:  7   b:  9  product:  63
a:  7   b: 10  product:  70
a:  7   b: 11  product:  77
a:  7   b: 12  product:  84
a:  7   b: 13  product:  91
a:  7   b: 14  product:  98
a:  8   b: 15  product: 120
a:  8   b:  0  product:   0
a:  8   b:  1  product:   8
a:  8   b:  2  product:  16
a:  8   b:  3  product:  24
a:  8   b:  4  product:  32
a:  8   b:  5  product:  40
a:  8   b:  6  product:  48
a:  8   b:  7  product:  56
a:  8   b:  8  product:  64
a:  8   b:  9  product:  72
a:  8   b: 10  product:  80
a:  8   b: 11  product:  88
a:  8   b: 12  product:  96
a:  8   b: 13  product: 104
a:  8   b: 14  product: 112
a:  9   b: 15  product: 135
a:  9   b:  0  product:   0
a:  9   b:  1  product:   9
a:  9   b:  2  product:  18
a:  9   b:  3  product:  27
a:  9   b:  4  product:  36
a:  9   b:  5  product:  45
a:  9   b:  6  product:  54
a:  9   b:  7  product:  63
a:  9   b:  8  product:  72
a:  9   b:  9  product:  81
a:  9   b: 10  product:  90
a:  9   b: 11  product:  99
a:  9   b: 12  product: 108
a:  9   b: 13  product: 117
a:  9   b: 14  product: 126
a: 10   b: 15  product: 150
a: 10   b:  0  product:   0
a: 10   b:  1  product:  10
a: 10   b:  2  product:  20
a: 10   b:  3  product:  30
a: 10   b:  4  product:  40
a: 10   b:  5  product:  50
a: 10   b:  6  product:  60
